,count
360050019001,800
360050019003,32
360050023001,62
360050023002,30
360050023003,93
360050025001,30
360050025003,31
360050025005,32
360050027012,31
360050031001,32
360050033003,32
360050037001,30
360050039001,62
360050039005,29
360050040011,32
360050041001,31
360050041002,32
360050043001,31
360050043002,31
360050043003,32
360050046001,32
360050050021,31
360050051001,1421
360050051002,256
360050051003,93
360050053001,62
360050059021,32
360050059022,64
360050061001,50
360050061002,31
360050061003,100
360050063001,100
360050063002,961
360050063003,62
360050063006,248
360050065001,93
360050065002,62
360050065004,186
360050067001,124
360050069001,64
360050071001,32
360050071002,128
360050072002,32
360050075002,64
360050076002,32
360050077001,64
360050078001,64
360050079001,31
360050079003,31
360050083004,31
360050085005,31
360050092003,32
360050093003,31
360050096001,32
360050098003,32
360050098005,31
360050119001,62
360050119004,31
360050125002,32
360050127012,32
360050129011,32
360050131003,64
360050133001,31
360050133004,31
360050141001,31
360050141002,62
360050147012,31
360050151004,32
360050153001,31
360050155002,32
360050157001,32
360050161001,31
360050162001,32
360050167002,31
360050173003,32
360050177022,31
360050179011,32
360050181011,31
360050183011,31
360050183013,32
360050183021,31
360050183023,32
360050185001,93
360050189001,240
360050189002,31
360050193001,31
360050195002,155
360050195003,31
360050195004,62
360050197002,62
360050197003,31
360050197005,30
360050199001,30
360050200001,32
360050200002,62
360050201001,93
360050205011,62
360050205012,31
360050209004,62
360050210011,32
360050210014,32
360050211002,31
360050212001,31
360050213022,60
360050215011,31
360050215013,31
360050216022,32
360050217001,31
360050218004,31
360050218005,31
360050219001,93
360050220001,32
360050221013,31
360050221023,31
360050224031,31
360050224041,32
360050224043,32
360050225002,31
360050225004,31
360050225005,31
360050227013,62
360050227031,31
360050228002,31
360050235011,31
360050237021,31
360050237031,31
360050237041,31
360050237042,31
360050239004,31
360050239005,31
360050241002,31
360050241004,31
360050243001,31
360050247002,31
360050263001,31
360050263003,32
360050263005,31
360050266023,32
360050267011,31
360050269001,93
360050283001,93
360050285001,32
360050285003,60
360050287003,31
