,count
360050016003,31
360050019001,1600
360050019002,30
360050019004,75
360050023001,93
360050023002,90
360050025002,62
360050025003,62
360050025005,32
360050027012,93
360050027021,31
360050027022,124
360050027023,30
360050028001,64
360050031001,32
360050033002,32
360050033003,32
360050035001,62
360050035002,31
360050038001,32
360050039001,155
360050039002,217
360050039003,279
360050039004,31
360050039005,87
360050041001,62
360050041002,32
360050041003,25
360050041004,31
360050042002,62
360050043001,62
360050043002,124
360050043003,32
360050043004,64
360050044003,128
360050046001,32
360050050013,31
360050050021,31
360050051001,1769
360050051002,672
360050051003,93
360050053001,31
360050053002,62
360050054001,32
360050054003,32
360050054004,31
360050059021,32
360050059022,32
360050060001,64
360050061001,25
360050061002,62
360050061003,250
360050063001,725
360050063002,2356
360050063003,310
360050063005,31
360050063006,589
360050065001,620
360050065002,155
360050065004,992
360050067001,124
360050067002,31
360050067004,31
360050067005,62
360050067006,62
360050069001,96
360050069002,96
360050071002,288
360050072001,32
360050072002,160
360050072003,31
360050073003,93
360050074001,32
360050075001,64
360050075002,96
360050075003,31
360050075004,60
360050076005,32
360050077001,32
360050078001,32
360050078004,31
360050079004,31
360050083005,30
360050085001,93
360050087001,62
360050087002,31
360050087004,31
360050087005,62
360050089001,32
360050089002,93
360050090004,30
360050092002,32
360050092003,64
360050092005,32
360050093001,50
360050093002,30
360050096001,32
360050096002,93
360050098002,30
360050115021,93
360050117001,62
360050117002,25
360050119002,31
360050121011,32
360050121021,31
360050123003,31
360050127011,32
360050127012,32
360050129011,32
360050129012,62
360050131003,32
360050133003,31
360050135002,32
360050135003,32
360050141001,62
360050141002,93
360050141003,64
360050143001,32
360050144005,31
360050145003,31
360050145004,31
360050147022,31
360050152001,33
360050153001,62
360050155001,64
360050155002,64
360050163001,25
360050165001,31
360050166002,32
360050167002,93
360050169001,32
360050173003,32
360050173004,93
360050175003,62
360050175004,31
360050177013,30
360050177022,62
360050177023,64
360050179011,64
360050179013,62
360050179021,31
360050179023,31
360050181011,62
360050181022,62
360050181024,155
360050183011,31
360050183013,32
360050183021,93
360050183023,64
360050184003,32
360050185001,31
360050185003,93
360050185004,31
360050189001,210
360050189002,434
360050189003,155
360050189004,62
360050193001,62
360050193002,29
360050193004,60
360050194001,32
360050195001,62
360050195002,248
360050195003,62
360050195004,31
360050197001,31
360050197002,31
360050197003,31
360050197004,30
360050197005,30
360050199001,150
360050199004,93
360050199006,31
360050200001,32
360050200002,31
360050200003,31
360050201001,31
360050202001,32
360050204001,32
360050205011,31
360050205012,124
360050205013,62
360050206011,64
360050209004,62
360050210013,32
360050210014,64
360050211003,32
360050213021,30
360050213022,60
360050215011,62
360050215013,31
360050216011,64
360050216014,31
360050216022,64
360050216025,60
360050217001,62
360050217003,62
360050218002,32
360050218005,31
360050219001,93
360050220001,96
360050221013,62
360050221021,31
360050222001,32
360050222002,31
360050222003,62
360050222004,64
360050223002,31
360050223003,62
360050223004,31
360050224011,32
360050224012,31
360050224031,62
360050224032,33
360050225006,31
360050227011,62
360050227012,62
360050227021,93
360050227031,31
360050229011,62
360050230001,32
360050231001,64
360050233011,31
360050233013,31
360050233021,93
360050235012,31
360050237021,31
360050237041,62
360050237043,30
360050238001,29
360050238002,32
360050239001,62
360050239005,62
360050240001,128
360050240003,32
360050241001,93
360050243001,93
360050243002,32
360050244001,32
360050245012,31
360050245022,30
360050248001,32
360050248003,32
360050251003,31
360050251007,31
360050253001,62
360050253002,31
360050255001,31
360050255003,60
360050256002,64
360050257001,64
360050261001,32
360050263001,93
360050265003,31
