,count
360050019001,832
360050019004,75
360050023001,155
360050023002,30
360050023003,31
360050025003,62
360050025005,64
360050027022,62
360050028001,32
360050028002,64
360050033001,32
360050039001,31
360050039002,93
360050039003,93
360050039005,58
360050040011,32
360050041001,31
360050042003,62
360050043001,62
360050043002,31
360050043003,32
360050043004,32
360050044003,64
360050050022,31
360050051001,1421
360050051002,384
360050051003,62
360050053001,31
360050053002,31
360050054002,32
360050054004,31
360050059021,64
360050059022,32
360050061001,25
360050061002,62
360050061003,75
360050063001,75
360050063002,992
360050063003,186
360050063004,32
360050063006,155
360050065001,186
360050065002,155
360050065004,124
360050067001,124
360050069001,64
360050069002,32
360050070001,32
360050070003,32
360050071002,256
360050072001,32
360050072002,32
360050073001,30
360050075002,32
360050075003,31
360050077001,96
360050079001,31
360050083004,93
360050087005,31
360050089001,32
360050090001,26
360050090002,30
360050092003,32
360050092004,32
360050093001,25
360050115021,31
360050123003,62
360050131003,32
360050132001,30
360050141001,31
360050141002,124
360050143001,96
360050145003,31
360050151003,32
360050152002,32
360050155002,32
360050169001,32
360050173003,32
360050175001,31
360050177013,30
360050179021,31
360050179023,31
360050181022,62
360050181023,31
360050183011,93
360050183022,62
360050185001,62
360050185004,62
360050189001,30
360050189003,31
360050189004,62
360050194001,32
360050195002,217
360050197002,31
360050199001,30
360050199006,31
360050200004,31
360050201001,31
360050201002,31
360050202002,32
360050205011,31
360050205012,31
360050205014,31
360050205023,32
360050209004,31
360050210021,32
360050211004,31
360050213022,30
360050216014,31
360050216022,32
360050217001,31
360050217003,31
360050219001,155
360050221021,31
360050221022,31
360050221023,31
360050222002,31
360050224012,62
360050224032,33
360050225002,31
360050227012,31
360050227031,31
360050228002,31
360050229022,62
360050231001,64
360050235011,31
360050235013,31
360050237041,31
360050239004,62
360050240001,32
360050240002,32
360050240003,64
360050241001,31
360050245011,31
360050248001,32
360050251005,62
360050252001,32
360050261001,32
360050263005,31
360050265004,31
360050266021,32
360050267011,31
360050267012,31
360050269001,124
360050277001,32
360050277002,31
360050283002,32
360050284001,28
360050285003,30
360050285004,32
360050287001,32
360050287003,62
360050288003,32
360050289001,93
360050289003,32
360050293022,32
360050295001,64
360050297001,32
360050300001,31
360050300005,32
360050307013,32
360050335002,32
360050335003,32
360050340004,32
360050358007,32
360050359001,64
360050361003,29
360050378002,31
360050379002,31
360050381005,31
360050383023,31
360050387001,31
360050389001,31
360050389003,31
360050391004,31
360050394004,31
360050395001,30
360050397002,31
360050398002,32
360050399021,31
360050403043,31
360050407012,31
360050421001,31
360050462011,62
360050504001,30
360470001001,450
360470001002,192
360470001003,448
360470001004,576
360470003011,192
360470003012,288
360470003013,480
360470003014,544
360470003015,30
360470005011,594
360470005012,480
360470005013,736
360470005021,1952
360470005022,2240
360470007001,768
360470007002,264
360470007003,2376
360470009001,4323
360470009002,2178
360470011001,4554
360470013001,4389
360470013002,459
360470015001,3040
360470015002,279
360470015003,7128
360470018001,162
360470021001,2112
360470021002,2208
360470021003,891
360470022001,155
360470022002,128
360470023001,186
360470023002,31
360470023003,217
360470029011,93
360470029012,112
360470031001,128
360470031002,729
360470031003,325
360470033001,416
360470033002,4224
360470034002,32
360470034003,32
360470035001,2816
360470035002,576
360470037001,2720
360470038001,32
360470039001,1920
360470039002,352
360470039003,1376
360470041001,1312
360470041002,352
360470041003,288
360470043001,425
360470043002,1216
360470043003,1085
360470043004,1792
360470044001,32
360470045001,2211
360470045002,704
360470045003,832
360470045004,1216
360470047001,561
360470049001,155
360470049002,66
360470049003,160
360470051001,124
360470051002,279
360470051003,96
360470053001,352
360470053002,132
360470053003,160
360470053004,32
360470054003,32
360470058001,32
360470058002,32
360470059001,96
360470059002,403
360470060003,32
360470062002,32
360470063001,256
360470063002,192
360470064001,96
360470064003,32
360470065001,736
360470065002,620
360470065003,496
360470065004,570
360470065005,651
360470065006,992
360470065007,832
360470066001,64
360470067001,832
360470067002,800
360470067003,1024
360470067004,736
360470067005,800
360470069001,1248
360470069002,896
360470069003,1376
360470069004,759
360470071001,32
360470071002,31
360470074001,96
360470074002,32
360470074003,30
360470075001,288
360470075002,896
360470075003,128
360470075004,544
360470075005,810
360470076001,32
360470076002,32
360470076003,64
360470077001,217
360470077002,288
360470077003,1248
360470077004,1024
360470078001,32
360470080003,31
360470082001,31
360470082002,32
360470084001,160
360470084002,128
360470084003,32
360470085001,31
360470088001,62
360470088002,32
360470092003,32
360470101001,256
360470101002,64
360470101003,32
360470112002,96
360470114001,32
360470117001,64
360470117002,64
360470117003,160
360470119001,864
360470119002,608
360470119003,768
360470120001,32
360470121001,396
360470121002,288
360470122003,32
360470126001,64
360470127001,576
360470127002,690
360470129011,2432
360470129012,960
360470129013,465
360470129021,1408
360470129022,1024
360470129023,155
360470130004,62
360470131001,561
360470131002,672
360470131003,640
360470131004,1440
360470132002,32
360470133001,1184
360470133002,620
360470133003,512
360470133004,352
360470134001,32
360470134002,32
360470135001,330
360470135002,544
360470135003,384
360470137001,224
360470137002,320
360470137003,1152
360470138002,32
360470138003,32
360470139001,160
360470139002,160
360470139003,279
360470139004,372
360470141001,256
360470141002,96
360470141003,384
360470142002,32
360470143001,448
360470143002,132
360470143003,160
360470145001,160
360470145002,224
360470145003,32
360470145004,256
360470147001,32
360470147002,66
360470149001,96
360470149002,224
360470149003,32
360470149005,96
360470151001,32
360470151003,64
360470151004,128
360470152002,32
360470153001,62
360470153002,128
360470153003,256
360470153004,64
360470155001,32
360470155002,96
360470155003,32
360470155004,32
360470157001,128
360470157002,32
360470157003,256
