,count
360050019001,928
360050019002,150
360050019003,160
360050019004,50
360050023001,93
360050023002,60
360050023003,93
360050025001,90
360050025003,31
360050027012,31
360050027022,31
360050033001,32
360050039001,93
360050039002,124
360050039003,62
360050039005,58
360050040011,32
360050042001,31
360050042006,50
360050042007,31
360050043001,31
360050043002,62
360050046001,32
360050050021,31
360050051001,1160
360050051002,160
360050051003,31
360050054004,31
360050059021,96
360050060001,32
360050061001,50
360050061002,31
360050061003,125
360050063001,225
360050063002,1643
360050063003,527
360050063005,31
360050063006,217
360050065001,217
360050065002,124
360050065004,372
360050067001,62
360050067002,31
360050069001,64
360050071001,64
360050071002,288
360050072001,64
360050072002,32
360050072003,62
360050073003,62
360050075003,31
360050078001,96
360050078002,64
360050079003,62
360050079004,341
360050079005,30
360050079006,30
360050083004,31
360050083005,30
360050085003,33
360050087001,31
360050087003,31
360050092002,32
360050092003,64
360050093001,50
360050096002,31
360050121011,64
360050127012,32
360050133001,31
360050133002,32
360050141001,31
360050141002,186
360050141003,64
360050145001,31
360050147021,31
360050147023,31
360050153001,31
360050159001,31
360050165001,31
360050167001,32
360050167002,93
360050175003,62
360050175005,31
360050179011,32
360050179013,31
360050179021,62
360050179023,31
360050181022,62
360050181024,31
360050183011,31
360050183021,31
360050183022,31
360050183023,32
360050184003,32
360050185001,93
360050185003,31
360050189001,210
360050189002,93
360050193001,31
360050193003,30
360050194001,32
360050195002,434
360050195004,62
360050197003,62
360050197004,30
360050199001,60
360050199002,31
360050199003,30
360050200001,32
360050201001,62
360050204002,32
360050209002,31
360050209003,31
360050209004,31
360050210013,32
360050210014,32
360050210027,32
360050211002,31
360050213021,30
360050215013,31
360050215021,31
360050216024,32
360050216025,90
360050217001,31
360050218003,32
360050218005,62
360050219001,62
360050220001,96
360050221012,31
360050221021,31
360050221023,31
360050222002,62
360050224011,160
360050224012,62
360050225006,31
360050227021,31
360050229014,31
360050231001,32
360050233021,31
360050235011,31
360050235023,30
360050235024,31
360050237041,31
360050239001,31
360050239002,62
360050240001,64
360050243002,32
360050245012,62
360050248001,32
360050255001,31
360050257001,32
360050261001,32
360050264001,32
360050267011,31
360050269001,93
360050273003,31
360050277001,32
360050277004,31
360050279001,31
360050279005,31
360050285004,64
360050287002,62
360050289001,155
360050289003,32
360050293023,32
360050293024,32
360050295001,64
360050295002,32
360050302004,29
360050330003,31
360050334001,174
360050337003,32
360050343001,32
360050351002,32
360050351003,32
360050361002,29
360050361003,29
360050361005,31
360050370002,32
360050371004,64
360050373002,64
360050373003,30
360050379001,31
360050386006,30
360050387001,31
360050391005,30
360050392002,32
360050397001,31
360050399023,31
360050401002,31
360050403041,31
360050403043,31
360050405011,31
360050407025,32
360050409002,32
360050415002,124
360050421002,31
360050421005,31
360050431003,31
360050431007,31
360050435001,30
360050449012,128
360050449021,33
360050451012,32
360050462011,93
360050462021,31
360050462023,32
360470001001,1650
360470001003,736
360470001004,896
360470002001,32
360470003011,64
360470003012,96
360470003013,288
360470003014,256
360470003015,120
360470005011,693
360470005012,224
360470005013,256
360470005021,2368
360470005022,2144
360470007001,1984
360470007002,264
360470007003,1815
360470009001,4488
360470009002,2376
360470011001,6798
360470013001,7887
360470013002,648
360470015001,4512
360470015002,434
360470015003,9636
360470018001,54
360470020001,32
360470020002,32
360470021001,3264
360470021002,4224
360470021003,1122
360470023001,124
360470023002,93
360470023003,217
360470029011,279
360470029012,112
360470030002,32
360470031001,288
360470031002,1053
360470031003,725
360470033001,608
360470033002,4256
360470034001,32
360470035001,4384
360470035002,416
360470036001,32
360470036003,32
360470037001,2912
360470039001,2112
360470039002,480
360470039003,1120
360470041001,1440
360470041002,672
360470041003,256
360470043001,800
360470043002,1216
360470043003,1550
360470043004,2208
360470045001,2607
360470045002,864
360470045003,736
360470045004,992
360470047001,825
360470049001,589
360470049002,165
360470049003,64
360470051001,186
360470051002,124
360470051003,160
360470053001,384
360470053002,264
360470053003,288
360470056012,32
360470058002,64
360470059001,256
360470059002,558
360470060001,64
360470060003,32
360470062002,32
360470063001,288
360470063002,160
360470064003,64
360470065001,576
360470065002,868
360470065003,496
360470065004,450
360470065005,651
360470065006,672
360470065007,1088
