,count
360050001001,54
360050004002,32
360050016004,32
360050019001,1024
360050019002,30
360050019003,64
360050019004,75
360050023001,93
360050023002,30
360050025005,64
360050027021,31
360050027022,31
360050027023,30
360050028001,64
360050031001,32
360050039002,62
360050039003,93
360050039005,116
360050040011,32
360050042003,31
360050042006,25
360050043002,62
360050044003,32
360050048001,31
360050050011,32
360050051001,1015
360050051002,224
360050051003,93
360050053001,31
360050054002,32
360050061001,25
360050061002,31
360050061003,75
360050063001,125
360050063002,899
360050063003,372
360050063006,186
360050065001,124
360050065002,62
360050065004,155
360050067001,124
360050067003,31
360050069001,64
360050069002,32
360050069003,30
360050070003,32
360050071002,64
360050072002,32
360050072003,62
360050075004,30
360050076002,32
360050076005,32
360050077001,32
360050078001,96
360050078002,32
360050083005,30
360050087005,31
360050090002,30
360050090005,31
360050092001,32
360050092003,32
360050092005,32
360050093006,29
360050115022,31
360050118003,32
360050119002,31
360050121011,32
360050127011,32
360050133001,62
360050133004,31
360050141002,62
360050145001,62
360050145004,31
360050147013,31
360050147022,31
360050151003,32
360050151004,64
360050152002,32
360050155001,32
360050157001,32
360050161004,31
360050165001,62
360050167001,32
360050173003,32
360050173004,31
360050177013,30
360050179011,32
360050181022,31
360050183011,31
360050183022,31
360050185001,31
360050185003,31
360050185005,31
360050189001,60
360050189002,31
360050189004,31
360050193001,31
360050193004,30
360050194001,64
360050195001,31
360050195002,372
360050195004,62
360050197004,60
360050199001,60
360050199002,31
360050201001,62
360050205011,31
360050205012,31
360050210014,32
360050211003,32
360050213021,30
360050213022,30
360050215011,31
360050215024,30
360050215025,31
360050216012,32
360050216023,32
360050216025,30
360050217001,31
360050218005,31
360050219001,124
360050221011,31
360050221021,31
360050221023,93
360050224011,32
360050224012,31
360050224032,33
360050225002,31
360050225006,31
360050227013,31
360050229015,32
360050229021,31
360050231001,32
360050233022,31
360050235012,31
360050237041,31
360050238002,32
360050239001,31
360050239003,31
360050245011,31
360050247002,62
360050251005,31
360050252001,32
360050263001,93
360050267021,31
360050269001,186
360050283001,62
360050284001,28
360050285003,30
360050285004,64
360050287003,62
360050289001,155
360050293021,96
360050293024,32
360050295001,64
360050295002,64
360050296001,32
360050297001,32
360050301002,32
360050307012,32
360050307013,32
360050310002,32
360050312002,32
360050323004,64
360050332022,32
360050345002,31
360050363002,29
360050363004,31
360050365022,31
360050371002,64
360050373003,30
360050375043,62
360050378001,32
360050378002,31
360050378003,31
360050379001,31
360050385001,30
360050387001,62
360050389005,31
360050395004,31
360050397001,62
360050399014,31
360050401002,31
360050401003,31
360050401005,30
360050407012,31
360050409001,32
360050409002,32
360050415006,31
360050420001,31
360050425006,30
360050426002,32
360050429021,32
360050435001,30
360050451012,32
360470001001,810
360470001002,64
