,count
360050019001,704
360050019002,30
360050019003,64
360050019004,25
360050023001,124
360050023003,124
360050027022,62
360050031001,32
360050039001,93
360050039002,62
360050039003,124
360050039005,29
360050041001,31
360050041002,64
360050041004,155
360050042006,75
360050043001,31
360050043002,62
360050043003,32
360050044003,32
360050046001,32
360050048001,31
360050051001,1276
360050051002,128
360050051003,62
360050056003,32
360050059021,64
360050059022,32
360050060001,64
360050061002,31
360050061003,50
360050062003,31
360050063001,75
360050063002,961
360050063003,403
360050063006,124
360050064001,32
360050064004,31
360050065001,124
360050065002,93
360050065004,186
360050067001,31
360050067003,31
360050067005,31
360050068001,32
360050069001,32
360050071002,160
360050072001,32
360050072003,93
360050075003,62
360050076002,32
360050076003,31
360050076005,32
360050077001,32
360050078001,64
360050079006,60
360050083004,31
360050083006,30
360050092002,32
360050092003,128
360050092004,32
360050093001,50
360050093006,29
360050096001,32
360050125001,32
360050127012,32
360050129011,32
360050130001,33
360050131003,32
360050135003,64
360050138001,33
360050141001,31
360050145003,62
360050147012,31
360050147024,31
360050149001,31
360050151004,32
360050153001,31
360050153003,32
360050165001,31
360050173001,93
360050177013,30
360050177022,31
360050179013,62
360050179021,31
360050181012,31
360050181022,31
360050183011,62
360050183021,93
360050183022,31
360050185003,62
360050189001,90
360050189002,124
360050189004,31
360050193004,30
360050195001,31
360050195002,186
360050195004,186
360050197001,62
360050197002,31
360050197003,31
360050199002,31
360050200001,64
360050201001,62
360050205012,31
360050206011,32
360050206012,32
360050209001,31
360050209003,31
360050213011,31
360050213022,60
360050215025,31
360050216025,30
360050217003,62
360050219001,124
360050220001,32
360050221012,31
360050221023,31
360050223004,31
360050224043,32
360050227021,62
360050227031,62
360050229015,32
360050229021,31
360050233012,31
360050235024,31
360050239001,31
360050240001,32
360050240003,32
360050241001,31
360050241003,31
360050245011,31
360050253001,31
360050255002,31
360050256002,32
360050257001,64
360050263001,124
360050263003,32
360050264002,32
360050265001,62
360050265004,31
360050269001,31
360050273001,31
360050273002,32
360050276001,25
360050277002,62
360050279005,31
360050283001,62
360050283002,32
360050285004,32
360050287002,31
360050288002,30
360050289001,31
360050293023,32
360050295001,32
360050297001,32
360050319001,27
