,count
360050004003,33
360050016004,32
360050019001,512
360050019004,25
360050023001,93
360050023002,60
360050023003,31
360050025001,60
360050025002,31
360050025003,31
360050025004,31
360050025005,32
360050027021,31
360050027022,31
360050027023,30
360050028002,32
360050031001,64
360050033001,32
360050039001,31
360050039002,62
360050039003,31
360050039005,58
360050041002,64
360050041004,31
360050043001,31
360050043004,32
360050044002,31
360050044003,64
360050046001,32
360050048002,32
360050050011,32
360050050014,32
360050051001,1218
360050051002,160
360050051003,62
360050052001,32
360050053001,31
360050053002,62
360050059021,64
360050059022,32
360050061001,25
360050061002,62
360050061003,100
360050062001,31
360050063001,125
360050063002,961
360050063003,155
360050063006,186
360050065001,217
360050065004,155
360050069001,96
360050069002,32
360050071002,32
360050072003,155
360050073003,31
360050074003,31
360050075004,30
360050077001,32
360050078001,64
360050078002,32
360050079003,31
360050079004,62
360050083005,30
360050083006,30
360050087004,31
360050087005,31
360050089001,96
360050092003,64
360050092004,64
360050093001,75
360050093002,30
360050093003,31
360050110001,25
360050115021,31
360050119002,31
360050123003,31
360050125001,32
360050135002,32
360050135003,32
360050141001,31
360050141002,93
360050141003,64
360050145003,31
360050147022,31
360050149001,31
360050149003,31
360050153002,30
360050155002,32
360050159002,31
360050165001,31
360050173003,32
360050173004,31
360050175001,31
360050177012,60
360050177013,30
360050179011,32
360050179013,31
360050181011,62
360050181021,64
360050181022,31
360050183011,62
360050183021,31
360050183022,62
360050184002,32
360050185001,62
360050189001,330
360050189002,31
360050189004,62
360050195001,31
360050195002,217
360050195004,62
360050197001,31
360050197005,30
360050199001,30
360050199002,31
360050199004,62
360050200001,64
360050201001,62
360050202002,64
360050205012,31
360050205013,31
360050210014,32
360050210015,32
360050211004,62
360050213022,60
360050213024,31
360050215011,93
360050215013,31
360050216012,32
360050216025,30
360050217003,31
360050219001,31
360050220001,32
360050221012,31
360050221021,31
360050221023,31
360050222002,62
360050223001,31
360050224011,32
360050224012,31
360050224031,31
360050227011,31
360050227021,31
360050227031,31
360050231001,64
360050232001,33
360050235011,31
360050237021,31
360050237031,31
360050237032,30
360050238003,32
360050239001,31
360050239002,31
360050243001,31
360050251003,31
360050253003,31
360050254001,32
360050257001,32
360050261001,32
360050263001,62
360050263002,29
360050263003,32
360050265001,31
360050265004,31
360050266011,31
360050267011,31
360050273003,31
360050279001,31
360050279004,31
360050281001,32
360050284001,28
360050287003,31
360050289001,124
360050293021,32
360050295002,64
360050295004,31
360050297001,32
360050300001,31
360050301002,32
360050307012,32
360050338004,32
360050345001,32
360050345003,32
360050351002,32
360050356002,96
360050361003,29
360050373003,30
360050378003,31
360050383021,31
360050387001,31
360050389003,31
360050395003,31
360050395004,31
360050397001,31
360050399011,31
360050399021,31
360050399022,31
360050405022,31
360050407021,32
360050407025,32
360050409001,64
360050409002,32
360050411001,64
360050413002,62
360050415006,31
360050421003,31
360050421005,31
360050429011,31
360050429022,31
360050431005,31
360050435001,30
360050462011,31
360050462019,31
360470001001,750
360470001002,128
360470001003,288
360470001004,320
360470003011,160
360470003012,608
360470003013,288
360470003014,672
360470003015,60
360470005011,1155
360470005012,288
360470005013,608
360470005021,1728
360470005022,2848
360470007001,992
360470007002,825
360470007003,2013
360470009001,4488
360470009002,2475
360470011001,5247
360470013001,4950
360470013002,621
360470015001,3584
360470015002,186
360470015003,7953
360470018001,108
360470021001,3360
360470021002,3680
360470021003,693
360470022001,31
360470023001,217
360470023002,62
360470023003,372
360470029011,124
360470029012,112
360470031001,128
360470031002,1053
360470031003,425
360470033001,448
360470033002,4800
360470035001,3712
360470035002,544
360470037001,3296
360470039001,2016
360470039002,256
360470039003,1312
360470041001,1600
360470041002,288
360470041003,544
360470043001,650
360470043002,1600
360470043003,1240
360470043004,1408
360470045001,2079
360470045002,992
360470045003,1056
360470045004,1024
360470047001,429
360470049001,310
360470049002,165
360470049003,64
360470051001,155
360470051002,248
360470051003,128
360470052011,32
360470053001,256
360470053002,132
360470053003,160
360470058001,128
360470059001,288
360470059002,496
360470062002,32
360470063001,256
360470063002,256
360470064001,32
360470064002,64
360470064003,32
360470065001,800
360470065002,837
360470065003,620
360470065004,600
360470065005,527
360470065006,1024
360470065007,1216
360470066002,32
360470067001,768
360470067002,992
360470067003,832
360470067004,1152
360470067005,608
360470068004,32
360470069001,928
360470069002,608
360470069003,800
360470069004,759
360470070001,31
360470071001,32
360470071002,31
360470071004,31
360470072001,128
360470075001,512
360470075002,864
360470075003,256
360470075004,640
360470075005,840
360470076001,32
360470077001,124
360470077002,320
360470077003,1504
360470077004,928
360470078002,64
360470078003,32
360470080001,32
360470080002,32
360470082002,64
360470082003,32
360470084001,288
360470084002,128
360470084003,224
360470085001,31
360470088001,124
360470101001,160
360470101002,224
360470101003,32
360470102003,96
360470117001,96
360470117002,96
360470117003,32
360470119001,1344
360470119002,608
360470119003,832
360470120001,32
360470121001,594
360470121002,448
360470122003,32
360470126001,32
360470126002,32
360470127001,448
360470127002,750
360470127003,31
360470129011,3712
360470129012,1152
360470129013,372
360470129021,2112
360470129022,736
360470129023,310
360470130001,62
360470131001,924
360470131002,448
360470131003,480
360470131004,1088
360470133001,1152
360470133002,558
360470133003,672
360470133004,352
360470134003,32
360470135001,330
360470135002,768
360470135003,416
360470136002,32
360470136003,32
360470137001,416
360470137002,320
360470137003,960
360470138003,32
360470139001,160
360470139002,96
360470139003,341
360470139004,465
360470140001,32
360470140002,32
360470141001,64
360470141002,160
360470141003,352
360470142002,32
360470143001,480
360470143002,99
360470143003,64
360470145001,160
360470145002,256
360470145003,64
360470145004,256
360470147001,32
360470149001,32
360470149002,160
360470149003,96
360470149004,96
360470149005,64
360470151001,160
360470151002,64
360470151003,32
360470151004,192
360470152003,32
360470153001,248
360470153002,128
360470153003,160
360470153004,96
360470155001,32
360470155002,96
360470155003,32
360470155004,32
360470157001,224
360470157002,160
360470157003,192
360470157004,192
360470159001,1504
360470159002,128
360470159003,93
360470159004,96
360470159005,160
360470160004,64
360470161001,192
360470161002,1216
360470161003,2496
360470163001,160
360470163002,224
360470163003,800
360470164001,31
360470165001,96
360470165002,192
360470165003,32
360470165004,32
360470167002,160
360470167003,32
360470167004,128
360470169001,64
360470169002,124
360470169003,64
360470169004,93
360470169005,64
360470171001,64
360470175001,25
