,count
360050001001,54
360050019001,960
360050019002,30
360050019003,32
360050019004,50
360050023001,31
360050023002,30
360050025001,30
360050025002,62
360050025005,32
360050027021,31
360050027022,62
360050028001,32
360050028002,32
360050031001,32
360050035002,31
360050039002,31
360050039005,58
360050040011,32
360050041001,62
360050043002,31
360050043004,32
360050044003,64
360050050012,31
360050050024,31
360050051001,1392
360050051002,256
360050051003,62
360050053002,31
360050059022,64
360050060001,32
360050061001,100
360050061003,50
360050062003,31
360050063001,200
360050063002,1085
360050063003,248
360050063005,31
360050063006,62
360050065001,93
360050065002,62
360050065004,124
360050067001,62
360050069001,64
360050069002,64
360050071001,32
360050071002,128
360050072002,32
360050072003,31
360050075003,31
360050078001,64
360050078002,32
360050079004,31
360050085003,66
360050086001,31
360050089002,62
360050092003,64
360050093001,25
360050098002,30
360050098004,32
360050110001,25
360050115021,31
360050118001,32
360050119004,62
360050121021,62
360050125001,32
360050125002,32
360050127011,32
360050129012,31
360050131003,32
360050133002,64
360050135001,32
360050141001,62
360050141002,62
360050141003,32
360050143001,32
360050145001,31
360050145004,31
360050147011,31
360050147012,31
360050151002,32
360050151004,32
360050155001,32
360050158001,32
360050161001,31
360050165001,93
360050171001,25
360050173003,32
360050173004,62
360050175004,31
360050177022,31
360050179011,64
360050179012,30
360050179013,31
360050179022,31
360050181011,31
360050181021,32
360050181022,62
360050183012,31
360050183013,64
360050183021,31
360050183022,62
360050185001,31
360050185002,60
360050185003,31
360050189001,150
360050189002,62
360050189004,31
360050194001,32
360050195002,310
360050195003,31
360050197002,31
360050199001,30
360050199002,31
360050199005,31
360050205011,31
360050205012,31
360050205014,31
360050209001,31
360050210015,64
360050211001,32
360050211004,31
360050213012,32
360050215011,31
360050215013,31
360050216012,32
360050217001,62
360050217003,62
360050219001,155
360050220001,64
360050221023,31
360050222002,31
360050222004,32
360050223004,31
360050224011,32
360050224032,33
360050224041,32
360050224042,32
360050227021,62
360050227031,62
360050229011,31
360050235011,31
360050235022,31
360050235024,31
360050236001,31
360050237021,31
360050237031,31
360050238001,29
360050240003,32
360050241001,31
360050244001,32
360050247002,31
360050251002,30
360050253003,31
360050256002,32
360050263001,62
360050263005,31
360050266023,32
360050267011,31
360050267012,31
