,count
360050001001,27
360050002002,32
360050019001,736
360050019002,30
360050019003,32
360050019004,75
360050023001,31
360050027012,31
360050028001,64
360050031001,32
360050037001,30
360050039001,93
360050039002,124
360050039003,31
360050039005,87
360050041001,31
360050041002,96
360050041003,25
360050042001,31
360050042006,50
360050043002,31
360050046001,32
360050050011,32
360050050014,32
360050050021,31
360050051001,1189
360050051002,384
360050051003,62
360050054001,32
360050059022,32
360050060001,64
360050061003,25
360050062001,31
360050063001,200
360050063002,868
360050063003,279
360050063004,32
360050063005,31
360050063006,62
360050065001,31
360050065002,186
360050065004,248
360050067001,62
360050067002,31
360050067005,31
360050069001,192
360050070003,64
360050071002,128
360050072002,32
360050072003,93
360050074002,29
360050077001,32
360050078002,32
360050079002,29
360050079006,60
360050092004,32
360050096002,31
360050098003,32
360050110001,25
360050115021,93
360050119004,31
360050121011,32
360050123003,31
360050129012,31
360050135003,32
360050138001,66
360050141002,62
360050143001,64
360050147024,31
360050151004,32
360050161004,31
360050177022,31
360050179011,32
360050179021,31
360050181011,31
360050181024,93
360050183011,93
360050183021,31
360050185001,93
360050185003,31
360050189001,60
360050189002,93
360050189003,31
360050189004,31
360050193001,31
360050194001,32
360050195002,93
360050195004,62
360050197001,31
360050197003,31
360050199002,62
360050199004,31
360050201001,31
360050202002,32
360050204001,32
360050205011,31
360050206012,32
360050211004,31
360050213022,30
360050216021,62
360050216022,32
360050216023,32
360050216025,60
360050217001,93
360050218003,32
360050218005,31
360050219001,93
360050221022,31
360050221023,31
360050224031,31
360050227012,31
360050227013,62
360050227021,62
360050227031,31
360050231001,64
360050233014,30
360050235011,31
360050237021,31
360050237031,31
360050237041,31
360050238002,32
360050239001,31
360050240001,32
360050241001,31
360050245011,31
360050245023,31
360050253003,62
360050255001,62
360050256002,32
360050261001,32
360050263001,31
360050263002,29
360050264004,32
360050265003,31
360050267011,31
360050269001,31
360050273001,31
360050273002,32
360050273004,31
360050276001,25
360050277002,31
360050277003,31
360050281003,32
360050283001,62
360050284001,28
360050287003,31
360050289001,217
360050293022,32
360050295001,32
360050296001,32
360050297002,32
360050302003,29
360050307013,32
360050309004,32
360050330004,31
360050334001,29
360050337003,32
360050344002,31
360050351002,32
360050368002,32
360050371003,31
360050379001,31
360050385001,60
360050389001,31
360050389003,31
360050390001,32
360050397001,31
360050398002,32
360050399021,62
360050401003,31
360050405023,32
360050409002,64
360050411001,32
360050411003,31
360050413007,32
360050421001,31
360050426002,32
360050431007,31
360050435001,30
360050449012,32
360050451012,32
360050451021,32
360050462018,25
360470001001,600
360470001002,96
360470001003,480
360470001004,640
360470002001,64
360470003011,32
360470003012,320
360470003013,544
360470003014,224
360470003015,60
360470005011,660
360470005012,320
360470005013,448
360470005021,1824
360470005022,2752
360470007001,832
360470007002,330
360470007003,1815
360470009001,3762
360470009002,2178
360470011001,4950
360470013001,4257
360470013002,459
360470015001,2976
360470015002,372
360470015003,8085
360470018001,54
360470020001,32
360470020002,32
360470021001,2080
360470021002,2720
360470021003,330
360470022001,62
360470022002,32
360470023002,31
360470023003,372
360470029011,93
360470029012,112
360470031001,160
360470031002,837
360470031003,650
360470033001,256
360470033002,3936
360470034001,32
360470035001,3296
360470035002,480
360470037001,2144
360470038001,32
360470039001,1568
360470039002,224
360470039003,896
360470041001,896
360470041002,256
360470041003,288
360470043001,550
360470043002,832
360470043003,868
360470043004,1632
360470045001,2112
360470045002,736
360470045003,1152
360470045004,1728
360470047001,528
360470049001,434
360470049002,165
360470049003,224
360470051001,124
360470051002,155
360470051003,160
360470053001,224
360470053002,66
360470053003,64
360470056011,32
360470056012,32
360470056021,32
360470058002,32
360470058003,32
360470059001,96
360470059002,403
360470060001,32
360470060002,32
360470062002,32
360470063001,256
360470063002,192
360470064001,32
360470065001,640
360470065002,589
360470065003,527
360470065004,480
360470065005,465
360470065006,1120
360470065007,832
360470066002,96
360470066003,33
360470067001,800
360470067002,864
360470067003,800
360470067004,1344
360470067005,1024
360470068001,32
360470068002,64
360470068003,32
360470068004,32
360470069001,896
360470069002,864
360470069003,1120
360470069004,825
360470071001,32
360470071002,31
360470071003,31
360470074002,32
360470075001,256
360470075002,896
360470075003,128
360470075004,448
360470075005,630
360470077001,155
360470077002,384
360470077003,1216
360470077004,832
360470080001,96
360470080002,32
360470082001,31
360470082002,32
360470084001,288
360470084002,128
360470085001,31
360470088001,31
360470088002,32
360470090001,33
360470090002,32
360470098001,32
360470101001,224
360470101002,160
360470101003,64
360470102002,32
360470116001,31
360470117001,128
360470117002,64
360470117003,160
360470119001,1408
360470119002,832
360470119003,704
360470120001,64
360470121001,561
360470121002,96
360470122001,31
360470122003,32
360470126001,64
360470127001,416
360470127002,600
360470128011,33
360470129011,3328
360470129012,1216
360470129013,620
360470129021,1952
360470129022,1248
360470129023,62
360470130001,31
360470131001,759
360470131002,448
360470131003,320
360470131004,1024
360470133001,1504
360470133002,899
360470133003,640
360470133004,256
360470134002,32
360470134003,32
360470135001,330
360470135002,608
360470135003,352
360470136003,32
360470137001,448
360470137002,320
360470137003,1376
360470139001,96
360470139002,160
360470139003,217
360470139004,124
360470140002,64
360470141001,128
360470141002,288
360470141003,416
360470143001,544
360470143002,198
360470143003,160
360470145001,160
360470145002,224
360470145003,64
360470145004,192
360470147001,32
360470147002,33
360470149001,32
360470149002,224
360470149003,32
360470149005,128
360470151001,96
360470151002,160
360470151003,64
360470151004,32
360470153001,248
360470153002,160
360470153003,192
360470153004,96
360470155001,64
360470155002,96
360470155003,64
360470155004,128
360470157001,128
360470157002,64
360470157003,128
360470157004,96
360470159001,1216
360470159002,160
360470159003,62
360470159004,128
360470159005,320
360470160001,31
360470160004,64
360470161001,192
360470161002,1152
360470161003,2880
360470162001,32
360470163001,224
360470163002,224
360470163003,1152
360470165001,160
360470165002,96
360470165003,32
360470165004,32
360470166002,64
360470167001,64
360470167002,96
360470167003,32
360470167004,320
360470169001,32
360470169002,124
360470169003,64
360470169004,31
360470177001,625
360470179001,155
360470179002,64
360470179003,248
360470181001,224
360470181002,352
360470181003,576
360470181004,256
360470183001,1440
360470183002,544
360470183003,96
360470184001,33
360470185011,320
360470185012,124
360470185014,248
360470187001,627
360470190002,32
360470190003,32
360470191001,384
360470191002,320
360470191003,512
360470192002,64
360470193001,180
360470193003,216
360470193004,60
360470195001,160
360470195002,448
360470195003,160
360470195004,288
360470197001,96
360470197002,96
360470197003,288
360470197004,384
360470199001,96
360470199002,736
360470199003,558
360470199004,96
360470201001,32
360470201002,256
360470201003,256
360470201004,32
360470203001,512
360470203002,396
360470205001,224
360470205002,320
360470205003,160
360470207001,224
360470207002,192
360470207003,96
360470211001,96
360470211002,165
360470212002,32
360470213001,120
360470213003,31
360470214002,32
360470215001,124
360470215002,186
360470215003,62
360470215004,288
360470217001,93
360470217002,544
360470219001,160
360470219002,96
360470219003,224
360470221001,93
360470221002,96
360470221003,96
360470227001,224
360470227002,297
360470227003,96
360470227004,320
360470229001,192
360470229002,217
360470229003,31
360470229004,155
360470231001,32
360470231002,256
360470231003,31
360470233001,320
360470233002,124
360470233003,713
360470234002,31
360470235001,330
360470235002,128
360470241001,800
360470241002,124
360470243001,384
360470243002,320
360470243003,150
360470245001,128
360470245002,256
360470245004,224
360470247001,330
360470247002,224
360470249004,96
360470250001,32
360470251001,31
360470251003,96
360470253001,288
360470253002,128
360470253003,62
360470254003,31
360470255002,155
360470257001,64
360470257003,64
360470259011,64
360470259021,93
360470260001,32
360470261001,93
360470261002,30
360470261003,31
360470261004,31
360470261005,62
360470263001,32
360470264002,31
360470265002,62
360470265003,64
360470266003,64
360470267001,32
360470267002,128
360470267003,33
360470269001,32
360470269002,64
360470269003,64
360470270002,32
360470271001,32
360470271002,128
360470273001,33
360470273002,64
360470273003,96
360470274002,32
360470275001,31
360470275003,96
360470275004,32
360470276002,32
360470277001,66
360470277002,32
360470277003,32
360470279001,32
360470279002,32
360470279003,64
360470279004,64
360470280001,32
360470281002,192
360470281003,192
360470282002,33
360470283001,62
360470283002,31
360470284002,31
360470285011,279
360470285021,93
360470286001,31
360470287001,899
360470287002,31
360470287003,32
360470289001,128
360470289004,62
360470290003,32
360470293003,30
360470295001,32
360470296002,32
360470296003,32
360470297001,32
360470297002,224
360470297003,32
360470298002,32
360470301001,32
360470301003,32
360470305001,775
360470305002,217
360470305003,160
360470305004,96
360470311002,32
360470311003,66
360470313001,62
360470313002,32
360470313004,32
360470314004,32
360470315001,96
360470315002,124
360470315003,64
360470315004,60
360470317011,32
360470317012,64
360470317013,64
360470317021,32
360470317022,64
360470317023,93
360470319001,64
360470319002,32
360470319003,31
360470321001,32
360470323001,93
360470323002,64
360470323003,66
360470325001,155
360470325002,31
360470325003,31
360470326002,31
360470327001,32
360470327002,128
360470327003,465
360470329002,31
360470333003,32
360470335001,32
360470335002,32
360470337001,64
360470337002,31
360470337003,96
360470341001,96
360470349002,32
360470350002,31
360470351003,32
360470353001,62
360470353002,64
360470356021,32
360470357001,32
360470364002,32
360470365021,32
360470366001,32
360470367001,32
360470369002,62
360470369004,62
360470370001,32
360470370003,32
360470371004,66
360470371005,32
360470373001,31
360470375002,32
360470375003,32
360470377002,32
360470377004,32
360470379001,64
360470381001,32
360470381002,31
360470381003,32
360470381004,96
360470383003,32
360470383004,66
360470385002,32
360470385003,32
360470387001,66
360470387004,32
360470389001,160
360470389002,248
360470389003,496
360470390001,64
360470391001,124
360470391002,620
360470393001,224
360470393002,448
360470393003,217
360470395002,124
360470395003,32
360470397001,32
360470397002,32
360470397003,64
360470398001,32
360470398002,32
360470399003,279
360470401001,32
360470403001,64
360470403002,64
360470409001,31
360470413002,32
360470414011,31
360470414021,32
360470421002,31
360470421004,32
360470422001,32
360470422002,32
360470423001,416
360470423002,155
360470424002,32
360470424003,32
360470425001,62
360470425002,155
360470425003,224
360470427001,192
360470427002,224
360470427003,124
360470427004,320
360470429001,93
360470429002,31
360470429003,64
360470429004,155
360470431001,192
360470431002,217
360470431003,31
360470433002,62
360470438002,32
360470439001,32
360470439003,93
360470441001,186
360470441003,32
360470443002,64
360470445001,64
360470445002,217
360470445003,64
360470447001,384
360470447002,150
360470449001,58
360470449003,352
360470449004,675
360470452002,31
360470453001,527
360470453002,806
360470458002,29
360470460001,64
360470460002,32
360470462012,64
360470477001,736
360470477002,660
360470478001,32
360470481001,32
360470481002,434
360470481003,186
360470482001,32
360470482002,32
360470482003,62
360470482004,96
360470484001,33
360470484002,32
360470485001,992
360470485002,528
360470486001,256
360470486002,32
360470486003,96
360470488001,32
360470488002,33
360470489002,31
360470489003,31
360470490001,64
360470490002,32
360470491001,320
360470491002,217
360470491003,120
360470491004,186
360470492001,64
360470492002,96
360470492003,64
360470493001,155
360470493002,434
360470493003,992
360470493004,150
360470493005,84
360470494001,64
360470494002,192
360470494004,224
360470495001,608
360470495002,608
360470495003,1248
360470496001,32
360470497001,160
360470497002,928
360470497003,768
360470498001,64
360470498002,32
360470498003,96
360470499001,256
360470499002,288
360470500003,32
360470501001,96
360470501002,736
360470501003,3136
360470503001,896
360470503002,544
360470503003,1184
360470504001,33
360470504003,256
360470505001,62
360470505002,224
360470505003,124
360470506001,62
360470507001,429
360470508011,64
360470508012,186
360470508031,198
360470508042,31
360470508043,31
360470509001,128
360470510012,93
360470511001,186
360470511002,93
360470511003,192
360470512002,31
360470513001,2496
360470513002,384
360470513003,1519
360470513004,775
360470514001,31
360470514004,31
360470515001,1815
360470517001,1419
360470517002,1760
360470519001,1888
360470519002,2139
360470519003,6176
360470520002,32
360470523001,992
360470523002,1519
360470523003,3296
360470523004,2460
360470523005,1247
360470525001,1891
360470525002,31
360470526001,96
360470526002,64
360470527001,93
360470527002,31
360470527003,360
360470527004,589
360470527005,186
360470527007,60
360470528001,32
360470528002,64
360470529001,32
360470529002,192
360470529003,558
360470530001,32
360470531001,192
360470531002,96
360470531003,31
360470532002,33
360470533002,64
360470533004,32
360470533005,128
360470535002,124
360470535003,31
360470535004,64
360470537001,93
360470537002,128
360470539002,32
360470542001,32
360470542002,33
360470543001,208
360470543002,62
360470545002,31
360470545003,31
360470545006,31
360470547001,64
360470547002,124
360470547003,288
360470549001,1122
360470549002,4340
360470550002,64
360470551001,1085
360470551002,1344
360470551003,1054
360470551004,704
360470553001,3008
360470553002,2080
360470553003,2976
360470554003,32
360470555001,5148
360470557001,576
360470557002,4433
360470561001,256
360470561002,224
360470561003,1504
360470561004,128
360470563001,288
360470563002,279
360470563003,288
360470563004,352
360470565001,864
360470565002,310
360470565003,1312
360470569001,2325
360470569002,992
360470571001,64
360470571002,128
360470571003,864
360470571004,496
360470573001,32
360470573002,160
360470573003,155
360470575001,352
360470575002,256
360470575003,352
360470575004,372
360470579001,93
360470579002,806
360470584001,32
360470589001,160
360470589002,128
360470591001,192
360470591002,32
360470591003,396
360470591004,93
360470592002,32
360470593001,32
360470593002,62
360470594016,32
360470598001,32
360470600004,32
360470600005,32
360470608003,32
360470622001,32
360470626001,32
360470650001,32
360470652001,32
360470656001,32
360470656002,32
360470662001,32
360470666001,25
360470670002,32
360470702021,27
360470706002,32
360470736002,32
360470748001,32
360470762001,32
360470770002,32
360470774001,128
360470776002,33
360470782002,64
360470786002,64
360470788003,32
360470790002,62
360470790004,96
360470792001,33
360470792003,192
360470794001,192
360470796011,224
360470796012,155
360470796021,96
360470796022,192
360470798011,32
360470798012,224
360470798021,96
360470798022,248
360470798023,31
360470800002,32
360470802001,96
360470802002,62
