,count
360050001001,27
360050004002,32
360050019001,800
360050019003,32
360050019004,25
360050023001,93
360050023002,30
360050025003,31
360050025005,32
360050027021,31
360050027022,62
360050028001,32
360050031001,64
360050039001,62
360050039002,62
360050039003,93
360050039005,58
360050041001,31
360050042003,31
360050042006,50
360050043001,31
360050043002,93
360050044003,32
360050051001,1334
360050051002,256
360050051003,124
360050053002,31
360050059021,128
360050060001,96
360050061001,25
360050061003,75
360050063001,300
360050063002,961
360050063003,155
360050063006,155
360050065001,31
360050065002,124
360050065004,155
360050067001,62
360050067005,31
360050068002,32
360050069001,32
360050071002,64
360050073001,30
360050073002,31
360050075001,32
360050075002,32
360050075004,30
360050076004,32
360050076005,64
360050078001,64
360050078002,32
360050079001,31
360050079003,31
360050079006,30
360050083002,30
360050085002,32
360050085005,31
360050093001,25
360050093004,32
360050098002,30
360050118003,32
360050119001,31
360050119002,31
360050119004,31
360050127011,32
360050141001,62
360050141002,93
360050141003,32
360050145001,31
360050145004,62
360050147022,31
360050147023,31
360050152002,32
360050153001,31
360050163001,25
360050165001,31
360050166001,32
360050169001,32
360050173004,31
360050177022,62
360050179011,32
360050181013,31
360050181022,31
360050181024,31
360050183011,93
360050183013,32
360050183023,32
360050185001,31
360050185004,31
360050189001,210
360050189002,93
360050189004,31
360050193001,31
360050194001,64
360050195001,31
360050195002,62
360050197001,31
360050197003,62
360050197004,30
360050199001,30
360050199003,30
360050199004,31
360050200002,31
360050201001,62
360050202002,32
360050204003,32
360050205023,32
360050206011,32
360050210014,32
360050210015,32
360050210016,32
360050210024,31
360050212001,31
360050213022,30
360050215011,31
360050215021,62
360050215025,31
360050216012,32
360050216025,60
360050217001,62
360050217003,31
360050218001,31
360050219001,93
360050220001,32
360050221021,31
360050222003,31
360050223004,62
360050224043,32
360050227013,31
360050227021,93
360050229014,31
360050231001,32
360050237021,31
360050237033,31
360050237043,30
360050239004,31
360050240001,32
360050240003,32
360050241001,31
360050243002,32
360050247002,31
360050248001,64
360050249001,50
360050253002,31
360050253004,31
360050255002,31
360050256002,32
360050257001,32
360050263001,31
360050269001,155
360050269002,32
360050274014,32
360050279001,31
360050281001,32
360050281003,32
360050283001,31
360050284001,28
360050285001,32
360050285004,64
360050289001,124
360050289003,32
360050293012,64
360050293021,64
360050295001,64
360050295004,31
360050296001,64
360050296002,60
360050297002,32
360050310002,32
360050323003,29
360050332011,66
360050332023,31
360050334001,29
360050335002,64
360050342002,32
360050345002,31
360050356002,32
360050358001,29
360050358007,32
360050359001,32
360050361003,29
360050375043,31
360050379001,31
360050379003,31
360050395002,32
360050397001,31
360050397002,31
360050401003,31
360050401005,30
360050403041,62
360050409001,96
360050411001,32
360050421002,31
360050421003,31
360050421005,31
360050425003,31
360050435001,60
360050449012,32
360050449021,33
360050451012,32
360050462018,25
360470001001,1050
360470001002,192
360470001003,480
360470001004,1024
360470002001,32
360470003011,32
360470003012,448
360470003013,224
360470003014,384
360470003015,150
360470005011,990
360470005012,288
360470005013,544
360470005021,2080
360470005022,2720
360470007001,1344
360470007002,429
360470007003,2343
360470009001,3762
360470009002,1650
360470011001,6204
360470013001,4818
360470013002,270
360470015001,3264
360470015002,589
360470015003,7722
360470018001,189
360470020001,64
360470020002,32
360470021001,3008
360470021002,2752
360470021003,627
360470022001,31
360470023001,186
360470023002,62
360470023003,310
360470029011,93
360470029012,252
360470031001,224
360470031002,1107
360470031003,450
360470033001,352
360470033002,4672
360470035001,3232
360470035002,480
360470037001,3232
360470039001,2240
360470039002,480
360470039003,800
360470041001,1152
360470041002,512
360470041003,448
360470043001,700
360470043002,1312
360470043003,961
360470043004,1632
360470044002,32
360470045001,2739
360470045002,736
360470045003,672
360470045004,1440
360470047001,561
360470049001,310
360470049002,99
360470049003,64
360470051001,279
360470051002,155
360470051003,64
360470053001,96
360470053002,231
360470053003,64
360470053004,64
360470054003,32
360470058002,32
360470059001,160
360470059002,558
360470063001,192
360470063002,224
360470065001,1024
360470065002,713
360470065003,837
360470065004,210
360470065005,434
360470065006,1408
360470065007,928
360470066001,32
360470066003,99
360470067001,768
360470067002,960
360470067003,1088
360470067004,1248
360470067005,832
360470068001,32
360470068002,32
360470068003,32
360470069001,704
360470069002,512
360470069003,768
360470069004,1155
360470071001,160
360470071002,155
360470071003,31
360470071004,31
360470072001,32
360470075001,160
360470075002,608
360470075003,384
360470075004,576
360470075005,900
360470076003,32
360470077001,93
360470077002,448
360470077003,1664
360470077004,1024
360470082001,62
360470082002,64
360470082003,32
360470084001,192
360470084002,256
360470084003,192
360470085001,93
360470085002,30
360470090002,32
360470092003,32
360470096004,32
360470098001,32
360470101001,64
360470101002,32
360470101003,160
360470117001,192
360470117002,160
360470117003,160
360470118002,32
360470119001,1152
360470119002,544
360470119003,1024
360470120001,32
360470121001,759
360470121002,480
360470122001,31
360470122003,32
360470126001,64
360470126003,32
360470127001,640
360470127002,630
360470127003,31
360470129011,3872
360470129012,1280
360470129013,527
360470129021,2272
360470129022,992
360470129023,124
360470130001,31
360470130004,31
360470131001,726
360470131002,640
360470131003,288
360470131004,1184
360470133001,1536
360470133002,868
360470133003,640
360470133004,384
360470134003,64
360470135001,330
360470135002,640
360470135003,320
360470136001,32
360470137001,288
360470137002,352
360470137003,1184
360470139001,64
360470139002,288
360470139003,403
360470139004,372
360470141001,128
360470141002,288
360470141003,352
360470142002,32
360470143001,384
360470143002,99
360470143003,128
360470145001,64
360470145002,128
360470145003,64
360470145004,256
360470147001,32
360470147002,33
360470149001,64
360470149002,288
360470149003,64
360470149004,96
360470149005,96
360470150002,32
360470151001,160
360470151002,96
360470151003,32
360470151004,64
360470153001,155
360470153002,224
360470153003,192
360470153004,256
360470155001,32
360470155002,192
360470155003,96
360470155004,64
360470157001,192
360470157002,128
360470157003,96
360470157004,64
360470159001,1152
360470159002,96
360470159003,124
360470159004,160
360470159005,224
360470160003,32
360470160004,128
360470161001,64
360470161002,1152
360470161003,2496
360470163002,320
360470163003,896
360470164001,31
360470165001,192
360470165002,128
360470165003,64
360470167001,96
360470167002,64
360470167003,32
360470167004,192
360470168001,32
360470169001,128
360470169002,93
360470169003,32
360470169005,96
360470170001,32
360470170003,32
360470171001,32
360470171004,64
360470175001,50
360470177001,725
360470179001,62
360470179002,320
360470179003,310
360470181001,256
360470181002,288
360470181003,800
360470181004,384
360470183001,1184
360470183002,768
360470183003,160
360470185011,320
360470185012,93
360470185014,248
360470187001,726
360470191001,352
360470191002,288
360470191003,640
360470193001,270
360470193002,320
360470193003,351
360470193004,120
360470194002,31
360470195001,160
360470195002,256
360470195003,192
360470195004,352
360470197001,64
360470197002,160
360470197003,320
360470197004,448
360470199001,160
360470199002,672
360470199003,589
360470199004,128
360470201001,160
360470201002,640
360470201003,192
360470201004,128
360470203001,352
360470203002,429
360470205001,96
360470205002,224
360470205003,160
360470207001,256
360470207002,96
360470207003,160
360470211001,64
360470211002,132
360470213001,270
360470213002,31
360470213003,62
360470215001,62
360470215002,217
360470215003,62
360470215004,608
360470217001,217
360470217002,448
360470219001,224
360470219002,160
360470219003,128
360470221001,93
360470221002,64
360470221003,288
360470227001,192
360470227002,429
360470227003,192
360470227004,352
360470229001,480
360470229002,93
360470229003,93
360470229004,62
360470231001,224
360470231002,192
360470231003,62
360470233001,352
360470233002,62
360470233003,527
360470235001,198
360470235002,256
360470241001,768
360470241002,124
360470243001,448
360470243002,352
360470243003,120
360470244002,31
360470245001,128
360470245002,96
360470245003,31
360470245004,128
360470247001,330
360470247002,192
360470248001,32
360470249001,96
360470249002,64
360470249004,64
360470251001,62
360470251003,32
360470252001,32
360470252004,32
360470253001,224
360470253002,32
360470253003,62
360470255001,31
360470255002,186
360470256001,32
360470257001,192
360470257003,32
360470259011,96
360470260001,32
360470261002,90
360470261004,31
360470262002,32
360470263001,64
360470265002,62
360470265003,32
360470265004,32
360470267001,64
360470267002,32
360470267003,165
360470269001,32
360470269002,32
360470269003,128
360470271001,224
360470271002,32
360470273001,33
360470273003,64
360470274002,32
360470275001,124
360470275002,64
360470275003,128
360470275004,32
360470277001,132
360470277002,64
360470277004,64
360470279001,64
360470281001,62
360470281002,32
360470281003,224
360470283001,62
360470283003,32
360470285011,248
360470285021,124
360470287001,527
360470287003,64
360470289001,128
360470289002,62
360470289003,62
360470289004,62
360470291001,64
360470291002,31
360470291003,32
360470293001,93
360470293002,62
360470293004,64
360470295001,32
360470295002,32
360470295003,32
360470296002,32
360470297001,64
360470297002,64
360470297003,32
360470299001,32
360470299002,32
360470301002,62
360470303001,32
360470303003,32
360470305001,310
360470305002,31
360470305003,224
360470305004,96
360470307003,96
360470309001,62
360470309002,32
360470311002,64
360470311003,33
360470313001,62
360470313002,96
360470313004,64
360470314002,32
360470315001,96
360470315002,186
360470315003,128
360470315004,180
360470317011,64
360470317012,64
360470317021,32
360470317022,256
360470317023,93
360470319001,32
360470319003,31
360470321001,96
360470321002,31
360470321003,33
360470321004,62
360470323001,155
360470323002,64
360470323003,132
360470325001,155
360470327001,96
360470327002,64
360470327003,496
360470329002,31
360470335001,64
360470335003,32
360470337001,64
360470337002,124
360470337003,96
360470339003,64
360470339004,32
360470341001,32
360470343001,62
360470345001,32
360470349001,31
360470349002,32
360470351002,128
360470351003,64
360470353002,32
360470355001,32
360470355002,62
360470359001,32
360470360021,30
360470363003,32
360470366002,33
360470366003,32
360470369001,31
360470369002,31
360470369004,31
360470370003,32
360470370004,32
360470371001,32
360470371004,33
360470373001,93
360470375002,32
360470377001,32
360470377002,32
360470379002,32
360470379003,96
360470383001,32
360470383002,32
360470383003,96
360470383004,33
360470385003,64
360470386001,64
360470387001,33
360470387002,31
360470387003,32
360470389001,192
360470389002,248
360470389003,558
360470391001,155
360470391002,403
360470392001,64
360470393001,192
360470393002,416
360470393003,186
360470395001,32
360470395002,31
360470395003,64
360470397001,64
360470397003,96
360470399001,64
360470399002,64
360470399003,31
360470401002,64
360470401003,128
360470403001,32
360470403003,62
360470409001,62
360470411002,32
360470413001,32
360470413003,32
360470417003,29
360470419002,31
360470419003,32
360470421001,30
360470421002,62
360470421004,32
360470422002,32
360470423001,704
360470423002,217
360470423003,93
360470424001,64
360470425001,124
360470425002,31
360470425003,192
360470426001,32
360470427001,160
360470427002,320
360470427003,155
360470427004,384
360470429001,155
360470429002,31
360470429004,124
360470431001,128
360470431003,62
360470431004,62
360470432003,32
360470433002,93
360470433003,32
360470435001,31
360470435002,64
360470436001,32
360470437002,32
360470437004,32
360470439001,32
360470439003,186
360470440001,32
360470441001,93
360470441002,32
360470441003,32
360470443004,62
360470444001,31
360470444003,32
360470445001,64
360470445002,186
360470445003,32
360470446001,31
360470447001,896
360470447002,270
360470448001,32
360470449001,58
360470449003,288
360470449004,891
360470450001,128
360470452002,31
360470453001,372
360470453002,682
360470458002,29
360470460002,32
360470460003,32
360470468001,32
360470476002,32
360470477001,704
360470477002,528
360470478001,32
360470481001,288
360470481002,899
360470481003,217
360470482002,64
360470482003,93
360470482004,96
360470484001,66
360470484003,64
360470485001,1696
360470485002,924
360470486001,32
360470486003,96
360470488001,64
360470489001,31
360470489002,62
360470490001,96
360470490002,32
360470491001,192
360470491002,217
360470491003,240
360470491004,279
360470492001,64
360470492002,64
360470493001,124
360470493002,341
360470493003,1674
360470493004,240
360470493005,140
360470494001,160
360470494002,128
360470494004,32
360470495001,512
360470495002,672
360470495003,1152
360470496002,32
360470497001,288
360470497002,1408
360470497003,1504
360470498002,32
360470499001,224
360470499002,352
360470500001,32
360470500002,64
360470501001,96
360470501002,1120
360470501003,5024
360470502022,64
360470503001,704
360470503002,576
360470503003,1920
360470504001,66
360470504003,128
360470505001,217
360470505002,352
360470505003,186
360470506001,124
360470506002,64
360470506004,32
360470507001,495
360470508011,32
360470508012,31
360470508031,297
360470508043,62
360470509001,192
360470510011,62
360470510012,62
360470510021,32
360470510022,62
360470511001,186
360470511002,62
360470511003,64
360470512004,31
360470513001,3968
360470513002,416
360470513003,1767
360470513004,496
360470514001,31
360470514004,62
360470515001,1551
360470516022,96
360470517001,2145
360470517002,2208
360470518002,32
360470519001,2144
360470519002,3007
360470519003,6528
360470520001,64
360470523001,864
360470523002,1860
360470523003,2688
360470523004,2970
360470523005,1044
360470525001,2697
360470526001,128
360470527001,62
360470527003,720
360470527004,868
360470527005,124
360470527006,31
360470527007,30
360470529001,64
360470529002,224
360470529003,682
360470530002,32
360470530003,64
360470531001,160
360470531002,32
360470531003,62
360470533002,64
360470533003,32
360470533005,32
360470534001,32
360470534003,31
360470535001,31
360470537001,186
360470537002,192
360470538001,32
360470538003,32
360470539001,64
360470539002,96
360470542002,33
360470543001,234
360470543002,186
360470545005,93
360470547001,64
360470547002,31
360470547003,224
360470549001,1419
360470549002,4495
360470551001,1488
360470551002,1536
360470551003,1178
360470551004,928
360470552002,64
360470552003,32
360470553001,5408
360470553002,2432
360470553003,3872
360470554002,32
360470555001,7491
360470556003,32
360470557001,832
360470557002,5766
360470558002,32
360470561001,320
360470561002,160
360470561003,1344
360470561004,192
360470563001,288
360470563002,155
360470563003,288
360470563004,416
360470565001,736
360470565002,310
360470565003,1504
360470566002,32
360470569001,2511
360470569002,1280
360470571001,128
360470571002,160
360470571003,608
360470571004,744
360470573001,32
360470573002,256
360470573003,341
360470575001,160
360470575002,320
360470575003,480
360470575004,434
360470579001,124
360470579002,837
360470589001,288
360470589002,96
360470591001,192
360470591002,160
360470591003,198
360470591004,155
360470593001,32
360470593002,62
360470608001,32
360470608003,32
360470610032,33
360470610041,30
360470640001,32
360470692001,32
360470702021,27
360470736003,32
360470738002,64
360470740001,32
360470742001,33
360470746002,32
360470748001,32
360470750001,32
360470752001,32
360470762002,64
360470770002,32
360470774001,64
360470782002,32
360470788001,32
360470788002,32
360470790002,31
360470790004,32
360470792003,96
360470794001,128
360470796011,192
360470796012,186
360470796021,128
360470796022,160
360470798011,64
360470798012,288
360470798021,32
360470798022,372
360470798023,155
360470802001,32
360470802003,64
360470804003,32
360470810001,32
360470814002,32
360470818001,31
360470820001,31
360470822001,31
360470822003,31
360470822004,64
360470826002,32
360470826004,32
360470828001,32
360470830002,32
360470832001,32
360470834002,32
360470860002,32
360470862003,31
360470866001,32
360470866003,32
360470880001,160
360470880003,64
360470886002,31
360470892001,31
360470892003,31
360470906003,31
360470910001,31
360470916004,31
360470920002,32
360470920003,31
360470924002,30
360470936001,32
360470962001,32
360470998001,32
360471004001,33
360471010001,33
360471024001,32
360471028001,32
360471058042,31
360471058044,31
360471070001,32
360471098001,32
360471116002,32
360471128002,32
360471128003,32
360471132002,32
360471142011,32
360471144003,31
360471144004,31
360471146001,32
360471160002,32
360471170002,32
360471176011,32
360471198003,32
360471200001,128
360471202002,64
360471208003,31
360471237001,31
360471237002,224
360471237003,640
360471502002,32
360471502003,96
360471522001,64
360471522002,96
360471522003,32
360593028001,30
360594043001,31
360594098002,30
360594099006,30
360610002011,217
360610002012,217
360610002021,589
360610002022,288
360610002024,93
360610002025,352
360610006001,3660
360610006002,434
360610006003,2418
360610006004,150
360610006005,62
360610006006,256
360610007001,79167
360610008001,930
360610008002,217
360610008003,93
360610008005,186
360610008006,3875
360610009001,61215
360610010011,775
360610010021,341
360610010022,155
360610010023,403
360610012001,961
360610012002,768
360610012003,608
360610013001,51051
360610013002,26268
360610014011,2752
360610014012,416
360610014021,9548
360610014022,2666
360610015011,12441
360610015012,4686
360610015013,11940
360610015021,17292
360610015022,34617
360610016001,12338
360610016002,465
360610016003,1953
360610016004,4216
360610016005,9238
360610018001,7350
360610018002,21297
360610018003,38657
360610018004,3930
360610018005,27652
360610018006,1767
360610018007,2914
360610020001,279
360610020002,31
360610020003,2542
360610021001,55328
360610021002,33759
360610022011,2790
360610022012,2100
360610022013,434
360610022014,620
360610022021,12448
360610024001,217
360610024002,31
360610025001,1240
360610025003,310
360610026011,1888
360610026012,5184
360610026021,4256
360610026022,9184
360610027001,4092
360610028001,2728
360610028002,2430
360610028003,6169
360610028004,3360
360610029001,7378
360610029002,1302
360610029003,5487
360610029004,9504
360610030011,31465
360610030012,28613
360610030013,6200
360610030014,11377
360610030021,18810
360610030022,25544
360610031001,35310
360610032001,23488
360610032002,9765
360610032003,13216
360610032004,6912
360610032005,5425
360610032006,8085
360610032007,16410
360610033001,23776
360610033002,46830
360610033003,39072
360610034001,11749
360610034002,9088
360610034003,19468
360610034004,23622
360610036011,2759
360610036012,2112
360610036013,22592
360610036021,8128
360610036022,36352
360610037001,20160
360610037002,30016
360610037003,48544
360610038001,26080
360610038002,10044
360610038003,20384
360610038004,6386
360610038005,9982
360610038006,4898
360610038007,17019
360610039001,16000
360610039002,17267
360610039003,5332
360610039004,37107
360610040001,26720
360610040002,10976
360610040003,21731
360610040004,8618
360610040005,12096
360610040006,16864
360610041001,9021
360610041002,8544
360610041003,2511
360610041004,6016
360610041005,16224
360610041006,19220
360610042001,43527
360610042002,24736
360610043001,25344
360610043002,7099
360610043003,47275
360610044001,7223
360610044002,2883
360610044003,2635
360610044004,868
360610044005,6448
360610044006,6900
360610044007,16926
360610044008,5177
360610045001,46784
360610047001,17344
360610047002,46400
360610048001,6656
360610048002,8544
360610048003,7104
360610048004,13268
360610048005,23488
360610048006,13671
360610048007,2400
360610049001,53056
360610049002,13568
360610049003,15552
360610050001,27968
360610050002,28448
360610050003,26432
360610050004,16192
360610050005,11072
360610052001,79456
360610052002,57651
360610054001,71040
360610054002,11744
360610054003,17728
360610055011,21792
360610055012,3193
360610055013,11098
360610055021,27296
360610055022,55520
360610056001,77469
360610056002,42912
360610056003,20367
360610057001,24352
360610057002,42112
360610058001,145365
360610059001,13408
360610059002,5696
360610059003,5184
360610059004,5730
360610059005,5952
360610060001,2821
360610060002,7657
360610060003,6528
360610061001,27680
360610061002,11392
360610061003,52192
360610062001,41323
360610062002,5056
360610063001,28480
360610063002,18240
360610063003,17088
360610063004,13472
360610063005,16032
360610064001,25504
360610064002,13792
360610064003,6913
360610064004,16120
360610064005,11649
360610064006,8184
360610065001,37792
360610065002,16647
360610065003,22400
360610065004,19104
360610065005,9207
360610066001,8773
360610066002,9780
360610066003,8256
360610066004,8512
360610066005,7744
360610066006,4096
360610066007,3968
360610066008,7772
360610066009,3136
360610067001,18624
360610067002,20064
360610067003,12710
360610067004,22016
360610068001,35520
360610068002,20646
360610068003,27968
360610068004,17980
360610068005,12640
360610068006,17664
360610069001,34320
360610070001,27264
360610070002,19200
360610070003,14384
360610070004,5632
360610070005,8640
360610070006,7564
360610071001,10740
360610071002,9536
360610071003,22240
360610071004,12864
360610071005,23684
360610072001,10080
360610072002,38432
360610072003,29952
360610072004,24924
360610072005,21536
360610072006,15221
360610072007,10624
360610073001,14756
360610073002,10695
360610073003,8091
360610073004,24864
360610073005,1767
360610073006,28544
360610074001,52160
360610074002,28800
360610074003,71616
360610075001,8576
360610075002,7680
360610075003,25327
360610076001,98560
360610076002,43200
360610077001,29696
360610077002,11104
360610077003,25984
360610077004,20832
360610077005,2848
360610078001,10571
360610078002,12224
360610078003,2201
360610078004,17056
360610078005,7740
360610078006,12352
360610078007,9408
360610079001,71424
360610079002,6784
360610079003,15744
360610079004,43776
360610080001,53440
360610080002,64160
360610080003,6016
360610080004,15520
360610080005,15456
360610081001,20672
360610081002,20992
360610081003,7520
360610081004,13919
360610081005,10240
360610081006,21760
360610082001,109952
360610082002,24544
360610082003,14528
360610083001,22784
360610083002,43936
360610083003,61344
360610084001,17875
360610084002,73792
360610086011,10791
360610086012,14105
360610086021,6725
360610086031,6432
360610086032,7072
360610086033,3328
360610086034,11682
360610087001,52448
360610087002,10260
360610087003,10336
360610087004,9424
360610087005,7626
360610088001,59360
360610088002,10044
360610088003,4608
360610088004,6231
360610088005,7520
360610088006,7616
360610088007,1024
360610089001,3680
360610089002,9734
360610089003,14368
360610089004,12672
360610089005,5152
360610090001,32032
360610090002,6880
360610090003,10974
360610090004,6656
360610090005,23157
360610090006,10726
360610091001,65152
360610091002,23456
360610091003,15167
360610091004,16678
360610092001,245952
360610093001,7502
360610093002,18414
360610093003,10848
360610093004,7380
360610093005,8640
360610093006,7161
360610093007,11098
360610094001,152760
360610095001,60489
360610095002,43904
360610096001,109056
360610097001,8910
360610097002,13890
360610097003,384
360610097004,4960
360610098001,16860
360610098002,32116
360610098003,31296
360610098004,10137
360610098005,11968
360610098006,22080
360610098007,9579
360610099001,205755
360610100001,101792
360610100002,105039
360610101001,397683
360610102001,156581
360610103001,61512
360610104001,139755
360610106011,6270
360610106012,7192
360610106013,7584
360610106014,7830
360610106015,5760
360610106016,6210
360610106021,7616
360610106022,25696
360610106023,4960
360610108001,5115
360610108002,11594
360610108003,9088
360610108004,13440
360610108005,8246
360610108006,23552
360610108007,35744
360610109001,112096
360610110001,10044
360610110002,7104
360610110003,41632
360610110004,8897
360610110005,7285
360610110006,22080
360610111001,39463
360610111002,10048
360610111003,16182
360610112011,102272
360610112021,93120
360610112031,37059
360610112032,43800
360610113001,164864
360610114011,53696
360610114012,37824
360610114021,47648
360610114022,54281
360610115001,95469
360610115002,27264
360610116001,58880
360610116002,5376
360610116003,5363
360610117001,49664
360610118001,8864
360610118002,10075
360610118003,10075
360610118004,17056
