,count
360050002002,32
360050004002,32
360050019001,1152
360050019002,30
360050019003,32
360050019004,25
360050023001,62
360050023002,30
360050023003,31
360050025001,90
360050025005,64
360050027022,31
360050027023,30
360050031001,32
360050035002,31
360050039002,31
360050039003,31
360050039005,87
360050041001,31
360050042006,50
360050043001,31
360050043002,62
360050044001,31
360050044003,32
360050046001,32
360050051001,1450
360050051002,192
360050053001,31
360050053002,31
360050059021,32
360050059022,32
360050061001,25
360050061002,31
360050061003,75
360050063001,200
360050063002,930
360050063003,403
360050063006,279
360050065001,93
360050065002,31
360050065003,31
360050065004,124
360050067001,31
360050067005,31
360050069001,96
360050070003,32
360050071002,32
360050072002,32
360050072003,31
360050073003,62
360050076001,31
360050076004,32
360050077001,32
360050078001,32
360050079003,31
360050087001,62
360050087002,31
360050087005,31
360050089002,31
360050090004,30
360050092004,96
360050093001,25
360050093002,30
360050098003,32
360050098005,31
360050110001,25
360050119002,31
360050119004,62
360050125001,32
360050129011,32
360050132004,32
360050135001,32
360050141001,31
360050141002,155
360050147012,31
360050149001,62
360050153001,31
360050155002,32
360050157001,32
360050163001,25
360050165001,155
360050169001,32
360050171001,25
360050177011,32
360050177023,32
360050179011,32
360050181013,31
360050181021,32
360050181023,31
360050181024,31
360050183011,93
360050183021,31
360050183022,31
360050185002,30
360050185004,31
360050185005,93
360050189001,180
360050189002,62
360050193004,30
360050195001,93
360050195002,155
360050195004,62
360050197001,31
360050197004,30
360050199002,31
360050200001,32
360050201001,62
360050201003,31
360050205012,124
360050206011,32
360050209004,62
360050211001,32
360050212004,32
360050215011,62
360050216025,30
360050217004,31
360050219001,31
360050220001,32
360050221021,93
360050222003,62
360050222004,64
360050223004,31
360050224012,62
360050224032,33
360050224042,32
360050225004,31
360050227011,31
360050227013,93
360050235022,31
360050238001,29
360050240001,32
360050245023,31
360050250002,32
360050256001,32
360050263001,31
360050265001,62
360050265003,31
360050267011,31
360050269001,93
360050269003,31
360050273001,31
360050277002,31
360050281001,32
360050283001,31
360050284001,56
360050289001,62
360050293021,64
360050293024,32
360050295001,32
360050297001,64
360050300002,32
360050307011,32
360050309001,32
360050312002,32
360050319001,27
360050323004,32
360050328003,32
360050334001,87
360050342002,32
360050345002,31
360050351003,32
360050356002,32
360050359001,32
360050360002,32
360050375043,31
360050378002,31
360050383021,31
360050383023,31
360050387002,31
360050389003,31
360050395002,32
360050395004,31
360050399013,31
360050401003,31
360050403041,31
360050404002,32
360050407022,31
360050414002,32
360050420001,31
360050421001,31
360050421002,31
360050435001,30
360050449022,32
360050451011,32
360050451012,32
360050462014,32
360470001001,750
360470001002,192
360470001003,416
360470001004,928
360470002001,64
360470003011,64
360470003012,288
360470003013,704
360470003014,416
360470003015,150
360470005011,1155
360470005012,416
360470005013,704
