,count
360050019001,160
360050019002,30
360050023002,30
360050023003,31
360050025001,30
360050035002,31
360050051001,145
360050053002,31
360050063002,186
360050063006,31
360050065001,31
360050067004,31
360050069002,32
360050078002,32
360050115021,31
360050195002,31
360050210011,32
360050224011,32
360050239005,31
360050243001,31
360050253003,31
360050293024,64
360050356001,32
360050407011,31
360470001001,90
360470001003,192
360470001004,128
360470003012,32
360470005011,132
360470005013,64
360470005021,96
360470005022,160
360470007001,384
360470007002,33
360470007003,231
360470009001,363
360470009002,363
360470011001,693
360470013001,693
360470015001,512
360470015002,31
360470015003,990
360470018001,27
360470021001,224
360470021002,320
360470021003,132
360470023001,31
360470029011,62
360470029012,28
360470031002,162
360470031003,175
360470033001,32
360470033002,544
360470035001,288
360470035002,192
360470037001,352
360470039001,384
360470039002,64
360470039003,64
360470041001,192
360470041003,64
360470043001,100
360470043002,192
360470043003,124
360470043004,256
360470045001,363
360470045002,96
360470045003,96
360470045004,32
360470047001,33
360470049001,62
360470049003,32
360470051001,31
360470053001,32
360470053004,32
360470059001,32
360470060001,32
360470065002,31
360470065004,30
360470065006,96
360470065007,96
360470066001,32
360470067002,64
360470067003,64
360470068002,32
360470069001,160
360470069002,256
360470069003,160
360470069004,231
360470070001,31
360470071004,31
360470075001,32
360470075002,64
360470075003,32
360470075004,64
360470075005,90
360470076003,32
360470077002,64
360470077003,192
360470077004,64
360470084001,32
360470117001,32
360470119001,320
360470119002,96
360470119003,128
360470120001,32
360470121001,132
360470121002,96
360470127001,192
360470127002,90
360470129011,416
360470129012,192
360470129021,224
360470129022,64
360470129023,62
360470131001,198
360470131002,96
360470131003,128
360470131004,256
360470133001,128
360470133002,155
360470133003,96
360470133004,160
360470135002,32
360470135003,128
360470137001,128
360470137002,32
360470137003,160
360470139002,32
360470139003,62
360470139004,31
360470143001,64
360470143002,33
360470145001,32
360470145003,64
360470145004,32
360470149002,32
360470151002,32
360470151004,32
360470153002,64
360470153003,64
360470157001,64
360470157003,64
360470159001,128
360470159002,64
360470159003,62
360470159005,32
360470160004,32
360470161001,32
360470161002,32
360470161003,384
360470162001,32
360470163001,64
360470163002,32
360470163003,160
360470165004,64
360470167002,160
360470167004,32
360470169002,62
360470179002,128
360470179003,31
360470181002,96
360470181003,224
360470183001,192
360470183002,192
360470185011,64
360470185012,31
360470185014,31
360470187001,165
360470191001,32
360470191002,96
360470191003,192
360470193001,90
360470193003,54
360470193004,30
360470195003,32
360470195004,96
360470197001,32
360470197004,64
360470199002,32
360470199003,62
360470199004,32
360470201001,32
360470201002,96
360470201004,32
360470203001,96
360470203002,66
360470205001,32
360470205003,32
360470207002,32
360470207003,64
360470211001,32
360470213001,30
360470215001,62
360470215004,96
360470217001,31
360470217002,32
360470219001,32
360470219002,32
360470219003,32
360470221001,31
360470221003,64
360470227001,96
360470227002,66
360470227004,64
360470233001,32
360470233003,62
360470241001,96
360470241002,31
360470243001,64
360470243002,32
360470243003,60
360470245001,32
360470245004,64
360470247002,32
360470249003,32
360470259011,64
360470261002,90
360470263001,32
360470271001,32
360470275001,31
360470275004,32
360470279002,32
360470279003,32
360470281002,32
360470285011,62
360470285021,31
360470286004,31
360470287001,93
360470287003,32
360470289001,32
360470289003,31
360470291002,31
360470293002,31
360470295003,32
360470296002,32
360470297003,32
360470305001,31
360470313003,32
360470315002,31
360470315004,30
360470317021,32
360470317023,31
360470321004,31
360470323002,32
360470327003,62
360470339001,32
360470339002,30
360470341002,31
360470341003,31
360470375002,32
360470379003,32
360470381002,62
360470383002,32
360470389001,32
360470389002,186
360470389003,93
360470391001,31
360470391002,93
360470393001,32
360470393002,64
360470393003,31
360470397002,32
360470409001,31
360470415003,32
360470421003,31
360470423002,31
360470425003,64
360470427004,64
360470431002,31
360470435002,32
360470439003,31
360470449003,32
360470449004,135
360470453001,124
360470453002,217
360470477001,224
360470477002,132
360470481001,32
360470481002,62
360470482004,32
360470485001,96
360470485002,66
360470489003,31
360470491001,96
360470491002,62
360470493001,31
360470493002,62
360470493003,341
360470493005,56
360470495001,96
360470495002,128
360470495003,288
360470496001,32
360470496003,64
360470497001,32
360470497002,128
360470497003,96
360470499001,96
360470499002,160
360470501001,32
360470501002,32
360470501003,512
360470503001,320
360470503002,32
360470503003,256
360470504001,33
360470504003,32
360470508012,31
360470508031,33
360470510012,31
360470511003,64
360470512001,64
360470513001,640
360470513002,64
360470513003,124
360470513004,217
360470514003,32
360470515001,231
360470517001,198
360470517002,320
360470519001,192
360470519002,372
360470519003,544
360470523001,192
360470523002,310
360470523003,640
360470523004,480
360470523005,174
360470525001,341
360470526001,32
360470527003,90
360470527004,62
360470527005,31
360470529003,155
360470531001,32
360470534002,32
360470535004,32
360470543001,26
360470543002,93
360470547003,32
360470549001,132
360470549002,1023
360470551001,341
360470551002,160
360470551003,186
360470551004,128
360470553001,192
360470553002,480
360470553003,224
360470555001,726
360470557001,64
360470557002,527
360470561001,128
360470561002,128
360470561003,288
360470561004,32
360470563001,96
360470563002,124
360470563003,128
360470563004,96
360470565001,160
360470565002,31
360470565003,448
360470568002,32
360470569001,248
360470569002,256
360470571003,96
360470573001,96
360470573002,64
360470573003,31
360470575002,64
360470575003,64
360470575004,31
360470579001,31
360470579002,93
360470589001,32
360470591002,32
360470591003,66
360470593001,32
360470593002,93
360470670001,32
360470686002,32
360470736002,32
360470738001,32
360470790004,32
360470792003,96
360470794001,32
360470796011,64
360470796012,62
360470798012,64
360470798021,32
360470800003,32
360470802002,31
360470804001,32
360470808001,31
360470816001,32
360470820002,31
360470876001,31
360470880003,32
360470910001,31
360470928002,32
360471118002,32
360471144001,30
360471237002,64
360471237003,192
360471502003,64
360610002012,31
360610002022,64
360610002025,32
360610005001,100
360610006001,540
360610006003,434
360610006004,30
360610007001,9867
360610008001,124
360610008003,31
360610008006,744
360610009001,8646
360610010023,31
360610012001,93
360610012002,96
360610012003,64
360610013001,6501
360610013002,4323
360610014011,512
360610014012,64
360610014021,1519
360610014022,465
360610015011,1221
360610015012,759
360610015013,2820
360610015021,2970
360610015022,5610
360610016001,2232
360610016002,62
360610016003,527
360610016004,496
360610016005,1798
360610018001,1470
360610018002,3937
360610018003,6820
360610018004,690
360610018005,6014
360610018006,434
360610018007,372
360610020002,62
360610020003,217
360610021001,7008
360610021002,3465
360610022011,465
360610022012,300
360610022013,62
360610022014,31
360610022021,2048
360610025001,124
360610025003,31
360610026011,320
360610026012,1088
360610026021,672
360610026022,1952
360610027001,858
360610028001,434
360610028002,720
360610028003,1736
360610028004,480
360610029001,775
360610029002,465
360610029003,1085
360610029004,1376
360610030011,6944
360610030012,5611
360610030013,1488
360610030014,2480
360610030021,3201
360610030022,4681
360610031001,3960
360610032001,5472
360610032002,2573
360610032003,2400
360610032004,768
360610032005,1271
360610032006,1914
360610032007,4080
360610033001,3136
360610033002,5700
360610033003,5280
360610034001,2449
360610034002,2048
360610034003,3813
360610034004,4402
360610036011,620
360610036012,768
360610036013,4096
360610036021,1248
360610036022,6944
360610037001,1728
360610037002,3776
360610037003,5920
360610038001,8224
360610038002,2139
360610038003,3456
360610038004,1240
360610038005,2511
360610038006,1240
360610038007,3844
360610039001,1024
360610039002,2945
360610039003,341
360610039004,5239
360610040001,6304
360610040002,2368
360610040003,4898
360610040004,2170
360610040005,3104
360610040006,3348
360610041001,1705
360610041002,896
360610041003,806
360610041004,1824
360610041005,3328
360610041006,3751
360610042001,7029
360610042002,4544
360610043001,3840
360610043002,1612
360610043003,6076
360610044001,713
360610044002,341
360610044003,434
360610044004,62
360610044005,806
360610044006,1050
360610044007,2449
360610044008,651
360610045001,6688
360610047001,2912
360610047002,7328
360610048001,800
360610048002,960
360610048003,864
360610048004,2573
360610048005,3136
360610048006,1860
360610048007,425
360610049001,4704
360610049002,2112
360610049003,2304
360610050001,4384
360610050002,3456
360610050003,4480
360610050004,2752
360610050005,1408
360610052001,10240
360610052002,7161
360610054001,7776
360610054002,1248
360610054003,1696
360610055011,2496
360610055012,372
360610055013,1147
360610055021,5600
360610055022,8672
360610056001,12090
360610056002,6016
360610056003,2325
360610057001,2944
360610057002,5440
360610058001,19899
360610059001,1696
360610059002,736
360610059003,416
360610059004,600
360610059005,576
360610060001,465
360610060002,682
360610060003,832
360610061001,4000
360610061002,1248
360610061003,7712
360610062001,5208
360610062002,1056
360610063001,3680
360610063002,2016
360610063003,2528
360610063004,1760
360610063005,2432
360610064001,3264
360610064002,1984
360610064003,1085
360610064004,1829
360610064005,1518
360610064006,1147
360610065001,5184
360610065002,3596
360610065003,4736
360610065004,4768
360610065005,2170
360610066001,2232
360610066002,1350
360610066003,1504
360610066004,928
360610066005,896
360610066006,224
360610066007,403
360610066008,1305
360610066009,392
360610067001,3360
360610067002,4288
360610067003,2201
360610067004,3328
360610068001,6304
360610068002,3348
360610068003,3072
360610068004,2790
360610068005,1856
360610068006,3648
360610069001,2475
360610070001,5440
360610070002,3808
360610070003,2852
360610070004,736
360610070005,800
360610070006,1302
360610071001,1770
360610071002,1216
360610071003,4128
360610071004,2720
360610071005,3968
360610072001,1024
360610072002,4512
360610072003,4704
360610072004,4650
360610072005,4608
360610072006,2542
360610072007,1792
360610073001,2139
360610073002,2077
360610073003,1085
360610073004,4416
360610073005,186
360610073006,6496
360610074001,9984
360610074002,4288
360610074003,10080
360610075001,1568
360610075002,1056
360610075003,3286
360610076001,20032
360610076002,6304
360610077001,4480
360610077002,1856
360610077003,3360
360610077004,3424
360610077005,480
360610078001,1488
360610078002,2016
360610078003,403
360610078004,2496
360610078005,870
360610078006,1184
360610078007,1056
360610079001,17422
360610079002,1120
360610079003,2016
360610079004,8160
360610080001,7808
360610080002,6944
